Infomación espacial de variables ambientales,,,,,,,,
Tipo,,ID,Región,Descripción,Resolución espacial,Pagina web,Documentacion,
,,Esri Sentinel 2,Global,SENTINEL-2 10M LAND USE/LAND COVER,,https://livingatlas.arcgis.com/landcoverexplorer/#mapCenter=-3.286%2C31.34%2C3&mode=step&timeExtent=2017%2C2021&year=2022&downloadMode=true,,
,3,LUH2,Global,"Global land-use and land-cover data for ecologists: Historical, current, and future scenarios",,https://drive.google.com/drive/folders/1CTax7OVdFPwnOcv_v36bF-cO7V-RZmwq,https://journals.ku.edu/jbi/article/view/15483,
,4,,Global,Gridded emissions and land-use data for 2005–2100,,,https://www.nature.com/articles/sdata2018210,
,5,Wilderness,Global,Temporally inter-comparable maps of terrestrial wilderness and the Last of the Wild,,,https://www.nature.com/articles/sdata2017187,
,6,EarthEnv,Global,Global 1-km Consensus Land Cover,,http://www.earthenv.org/landcover,,
,7,ORNL DAAC,Global,"Maps of Forest Area, Carbon Stocks, and Biomass,",,https://daac.ornl.gov/VEGETATION/guides/Global_Biomass_1950-2010.html,,
,8,Fuego,Global,Global Fired Data,,http://www.globalfiredata.org/data.html,,
,9,Cultivos,Global,Cropland map,,https://croplands.org/app/map?lat=0.17578&lng=0&zoom=2,http://onlinelibrary.wiley.com/doi/10.1111/gcb.12838/full,
,10,LCC,Global,Series de tiempo de LCC 1992-2015 ,,http://maps.elie.ucl.ac.be/CCI/viewer/,,
,11,GLCF,Global,Global Land Cover Facility,,http://glcf.umd.edu/data/,,
,12,GLCC,Global,Global Land Cover Characterization,,https://lta.cr.usgs.gov/GLCC,,
,13,huella humana,Global,Global terrestrial Human Footprint maps for 1993 and 2009,,http://datadryad.org/resource/doi:10.5061/dryad.052q5,,
,14,huella humana,Global,"Gridded Population of the World (GPW), v4",,http://sedac.ciesin.columbia.edu/data/collection/gpw-v4/sets/browse,,
,15,Dosel,Global,Global Tree Canopy Cover circa 2010,,https://landcover.usgs.gov/glc/TreeCoverDescriptionAndDownloads.php,,
,16,Cambio de uso de suelo (historico),Global,Global land change from 1982 to 2016,,https://lpdaac.usgs.gov/dataset_discovery/measures/measures_products_table/vcf5kyr_v001,https://www.nature.com/articles/s41586-018-0411-9,
,17,Carreteras,Global,Global Road Maps,,https://www.global-roadmap.org/global-road-maps/road-zoning-maps/,,
,18,Vegetación fut,Global,"Harmonized Global Land Use for Years 1500 – 2100, V1",,https://daac.ornl.gov/VEGETATION/guides/Land_Use_Harmonization_V1.html,,
,19,CLUMondo Cambio de uso de suelo (Futuro),Global,CLUMondo,9250m x 9250m ,https://www.environmentalgeography.nl/site/data-models/data/implementing-ssps-in-clumondo/,,
,20,,Global,Natural and Modified Habitat Screening Layer,,https://data-gis.unep-wcmc.org/portal/home/item.html?id=6c90138935c54556aa26e1091e5eb5de,https://www.sciencedirect.com/science/article/pii/S0006320720307321,
,21,esa LandCover,Global,"Land use land cover, time series",300 m to 1 km,https://www.esa-landcover-cci.org/?q=node/164,,
,22,,Global,"Global Forest Canopy Height, 2019","30 m , 10 m altura",https://glad.earthengine.app/view/global-forest-canopy-height-2019,,
,23,LAND Copernicus,Global,Copernicus Global Land Service,100 m,https://land.copernicus.eu/global/content/annual-100m-global-land-cover-maps-available,,
,24,North American Land Cover,Norte America,North American Land Change Monitoring System,"30 m, 250 m",http://www.cec.org/north-american-land-change-monitoring-system/,,
,25,Indices de habitat,Global,DYNAMIC HABITAT INDICES,,http://silvis.forest.wisc.edu/data/dhis/?fbclid=IwAR0yk-bP2jhkTDxvgSsYHsnYYI4lS0bn5piDIt7m9fc9T6nYPQxauecYGKU,http://silvis.forest.wisc.edu/wp-content/uploads/2018/10/Hobi_Dubinin_RSE_2017.pdf,
,26,Coberturas Colombia,Colombia,,,https://youtu.be/7rmd99Nq8Qw,,
,27,,Global,,,https://www.geo-wiki.org,,https://www.nature.com/articles/s41597-022-01332-3
,,Natural Forest 2020,Global,Natural forests of the world – a 2020 baseline,,https://doi.org/10.25452/figshare.plus.28881731,https://www.nature.com/articles/s41597-025-06097-z,
,28,Global Human Settlement,Global,GHSL - Global Human Settlement Layer,,https://ghsl.jrc.ec.europa.eu/download.php?ds=bu,,
Oceano,1,CreSis,,Incremento del nivel de mar,,https://cresis.ku.edu/content/research/maps,,
,2,GEBCO,Global,Global bathymetry 1-km,,https://www.gebco.net/data_and_products/gridded_bathymetry_data/,,
,3,EMODNET-Bathimetry,Global,European waters high resolution bathymetry (500m?),,http://www.emodnet-bathymetry.eu/data-products,,
,4,MARSPEC,Global,Ocean Climate Layers for Marine Spatial Ecology,,http://www.marspec.org/Home.html,,
,5,Clima,Global,Sea Surface Temperature,,https://climatedataguide.ucar.edu/climate-data/sst-data-hadisst-v11,,
,6,GLOBAL OCEAN 1/12° PHYSICS ANALYSIS AND FORECAST UPDATED DAILY,Global,Global model 3D ocean variables with data assimilation (10km),,http://marine.copernicus.eu/services-portfolio/access-to-products/?option=com_csw&view=details&product_id=GLOBAL_ANALYSIS_FORECAST_PHY_001_024,,
,7,MUR SST,Global,Multi-scale Ultra-high Resolution Sea Surface Temperature remote sensing mix (1km),,https://mur.jpl.nasa.gov/DownloadDataText.php,,
